"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","codigoConstruccion","tipoClima","codigoZonaGeografica","zonaGeografica","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","crecimiento","peso","conversion","conversionAcumulada","raza","anio","temperaturaDeseada","stock","kilogramosCarne","ventilacionMinima","ventiladoresFuncionando","porcentajeOperacionRequerida","porcentajeOperacionRequeridaTotal","tiempoEncendido","tiempoApagado","cicloVentilacion","active","created_at","updated_at"
598,ROSS - 2017,1,0,2,Macho,1,,-1,Sin Información,0.01,0.0,0.02,0.02,0.0,0.0,,0.043,-1.0,-1.0,Ross,2017,30.0,30700,1320.1,1320.1,1,0.0440033,0.0110008,20,435,455,0,"2020-09-01 15:16:28","2023-03-13 15:29:52"
599,ROSS - 2017,1,1,2,Macho,1,,-1,Sin Información,0.013,0.013,0.026,0.046,0.012,0.055,,0.055,0.242,0.242,Ross,2017,29.2,30700,1688.5,1688.5,1,0.0562833,0.0140708,20,335,355,0,"2020-09-01 15:16:28","2023-05-29 17:10:45"
600,ROSS - 2017,1,2,2,Macho,1,,-1,Sin Información,0.016,0.03,0.032,0.078,0.015,0.035,,0.07,0.424,0.424,Ross,2017,28.8,30700,2149.0,2149.0,1,0.0716333,0.0179083,20,259,279,0,"2020-09-01 15:16:28","2023-05-29 17:10:33"
601,ROSS - 2017,1,3,2,Macho,1,,-1,Sin Información,0.019,0.049,0.038,0.116,0.018,0.029,,0.088,0.553,0.553,Ross,2017,28.4,30700,2701.6,2701.6,1,0.0900533,0.0225133,20,202,222,0,"2020-09-01 15:16:28","2023-05-29 17:10:29"
602,ROSS - 2017,1,4,2,Macho,1,,-1,Sin Información,0.022,0.071,0.044,0.16,0.021,0.027,,0.109,0.649,0.649,Ross,2017,27.9,30700,3346.3,3346.3,1,0.111543,0.0278858,20,159,179,0,"2020-09-01 15:16:28","2023-05-29 17:10:22"
603,ROSS - 2017,1,5,2,Macho,1,,-1,Sin Información,0.025,0.096,0.05,0.21,0.024,0.027,,0.133,0.723,0.723,Ross,2017,27.5,30700,4083.1,4083.1,1,0.136103,0.0340258,20,127,147,0,"2020-09-01 15:16:28","2023-05-29 17:10:30"
604,ROSS - 2017,1,6,2,Macho,1,,-1,Sin Información,0.029,0.125,0.058,0.268,0.027,0.027,,0.16,0.783,0.783,Ross,2017,27.1,30700,4912.0,4912.0,1,0.163733,0.0409333,20,102,122,0,"2020-09-01 15:16:28","2023-05-29 17:10:17"
605,ROSS - 2017,1,7,2,Macho,1,,-1,Sin Información,0.033,0.159,0.066,0.334,0.03,0.027,,0.19,0.834,0.834,Ross,2017,26.8,30393,5774.7,5774.7,1,0.19249,0.0481225,20,84,104,0,"2020-09-01 15:16:28","2023-05-29 17:09:56"
606,ROSS - 2017,1,8,2,Macho,1,,-1,Sin Información,0.038,0.197,0.076,0.41,0.033,0.028,,0.224,0.879,0.879,Ross,2017,26.6,30393,6808.0,6808.0,1,0.226933,0.0567333,45,153,198,0,"2020-09-01 15:16:28","2023-05-29 17:09:35"
607,ROSS - 2017,1,9,2,Macho,1,,-1,Sin Información,0.043,0.239,0.086,0.496,0.037,0.029,,0.26,0.919,0.919,Ross,2017,26.4,30393,7902.2,7902.2,1,0.263407,0.0658517,45,126,171,0,"2020-09-01 15:16:28","2023-05-29 17:08:28"
608,ROSS - 2017,1,10,2,Macho,1,,-1,Sin Información,0.048,0.287,0.096,0.592,0.04,0.03,,0.3,0.956,0.956,Ross,2017,26.2,30393,9117.9,9117.9,1,0.30393,0.0759825,45,103,148,0,"2020-09-01 15:16:28","2023-05-29 17:08:17"
609,ROSS - 2017,1,11,2,Macho,1,,-1,Sin Información,0.053,0.34,0.106,0.698,0.043,0.031,,0.343,0.991,0.991,Ross,2017,26.0,30393,10424.8,10424.8,1,0.347493,0.0868733,45,84,129,0,"2020-09-01 15:16:28","2023-05-29 17:10:03"
610,ROSS - 2017,1,12,2,Macho,1,,-1,Sin Información,0.059,0.399,0.118,0.816,0.047,0.032,,0.39,1.023,1.023,Ross,2017,25.8,30393,11853.3,11853.3,1,0.39511,0.0987775,45,69,114,0,"2020-09-01 15:16:28","2023-05-29 17:09:27"
611,ROSS - 2017,1,13,2,Macho,1,,-1,Sin Información,0.065,0.463,0.13,0.946,0.05,0.034,,0.44,1.053,1.053,Ross,2017,25.5,30393,13372.9,13372.9,1,0.445763,0.111441,45,56,101,0,"2020-09-01 15:16:28","2023-05-29 17:09:52"
612,ROSS - 2017,1,14,2,Macho,1,,-1,Sin Información,0.071,0.534,0.142,1.088,0.054,0.035,,0.494,1.082,1.082,Ross,2017,25.2,30270,14953.4,14953.4,1,0.498447,0.124612,45,45,90,0,"2020-09-01 15:16:28","2023-05-29 17:07:42"
613,ROSS - 2017,1,15,2,Macho,1,,-1,Sin Información,0.077,0.611,0.154,1.242,0.057,0.037,,0.551,1.108,1.108,Ross,2017,24.9,30270,16678.8,16678.8,2,0.27798,0.13899,45,117,162,0,"2020-09-01 15:16:28","2023-05-29 17:10:31"
614,ROSS - 2017,1,16,2,Macho,1,,-1,Sin Información,0.083,0.694,0.166,1.408,0.061,0.038,,0.612,1.134,1.134,Ross,2017,24.5,30270,18525.2,18525.2,2,0.308753,0.154377,45,101,146,0,"2020-09-01 15:16:28","2023-05-29 17:08:53"
615,ROSS - 2017,1,17,2,Macho,1,,-1,Sin Información,0.089,0.784,0.178,1.586,0.065,0.04,,0.677,1.157,1.157,Ross,2017,24.1,30270,20492.8,20492.8,2,0.341547,0.170773,45,87,132,0,"2020-09-01 15:16:28","2023-05-29 17:10:00"
616,ROSS - 2017,1,18,2,Macho,1,,-1,Sin Información,0.096,0.879,0.192,1.778,0.069,0.041,,0.746,1.179,1.179,Ross,2017,23.8,30270,22581.4,22581.4,2,0.376357,0.188178,45,75,120,0,"2020-09-01 15:16:28","2023-05-29 17:10:13"
617,ROSS - 2017,1,19,2,Macho,1,,-1,Sin Información,0.102,0.981,0.204,1.982,0.072,0.043,,0.818,1.199,1.199,Ross,2017,23.4,30270,24760.9,24760.9,2,0.412682,0.206341,45,64,109,0,"2020-09-01 15:16:28","2023-05-29 17:10:14"
618,ROSS - 2017,1,20,2,Macho,1,,-1,Sin Información,0.108,1.089,0.216,2.198,0.076,0.045,,0.895,1.217,1.217,Ross,2017,23.0,30270,27091.6,27091.6,2,0.451527,0.225763,45,55,100,0,"2020-09-01 15:16:28","2023-05-29 17:10:12"
619,ROSS - 2017,1,21,2,Macho,1,,-1,Sin Información,0.118,1.207,0.236,2.434,0.08,0.046,,0.975,1.238,1.238,Ross,2017,22.8,30163,29408.9,29408.9,2,0.490148,0.245074,45,47,92,0,"2020-09-01 15:16:28","2023-05-29 17:08:41"
620,ROSS - 2017,1,22,2,Macho,1,,-1,Sin Información,0.124,1.33,0.248,2.682,0.083,0.048,,1.057,1.258,1.258,Ross,2017,22.6,30163,31882.3,31882.3,2,0.531372,0.265686,120,106,226,0,"2020-09-01 15:16:28","2023-05-29 17:09:32"
