"secuencial","nombreGenetica","codigoProcesoAgrosuper","edad","idSexo","sexo","consumoDiario","consumoAcumulado","consumoDiarioAgua","consumoAcumuladoAgua","ganancia","gananciaMedia","peso","conversion","conversionAcumulada","raza","anio","active","created_at","updated_at"
1,ROSS - 2020,2,21,3,Mixto,0.00024009,0.00024009,,,-1.0,,0.0050787,-1.0,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
2,ROSS - 2020,2,22,3,Mixto,0.000252836,0.000492926,,,0.000225623,,0.00530433,1.12061,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
3,ROSS - 2020,2,23,3,Mixto,0.000266379,0.000759305,,,0.000239043,,0.00554337,1.11436,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
4,ROSS - 2020,2,24,3,Mixto,0.000280729,0.00104003,,,0.00025258,,0.00579595,1.11145,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
5,ROSS - 2020,2,25,3,Mixto,0.000295895,0.00133593,,,0.000266222,,0.00606217,1.11146,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
6,ROSS - 2020,2,26,3,Mixto,0.000311883,0.00164781,,,0.000279959,,0.00634213,1.11403,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
7,ROSS - 2020,2,27,3,Mixto,0.0003287,0.00197651,,,0.00029378,,0.00663591,1.11886,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
8,ROSS - 2020,2,28,3,Mixto,0.000346348,0.00232286,,,0.000307675,,0.00694358,1.12569,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
9,ROSS - 2020,2,29,3,Mixto,0.00036483,0.00268769,,,0.000321634,,0.00726522,1.1343,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
10,ROSS - 2020,2,30,3,Mixto,0.000384147,0.00307184,,,0.000335647,,0.00760087,1.14449,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
11,ROSS - 2020,2,31,3,Mixto,0.000404297,0.00347613,,,0.000349705,,0.00795057,1.15611,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
12,ROSS - 2020,2,32,3,Mixto,0.000425278,0.00390141,,,0.000363797,,0.00831437,1.169,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
13,ROSS - 2020,2,33,3,Mixto,0.000447085,0.0043485,,,0.000377916,,0.00869228,1.18303,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
14,ROSS - 2020,2,34,3,Mixto,0.000469711,0.00481821,,,0.00039205,,0.00908433,1.19809,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
15,ROSS - 2020,2,35,3,Mixto,0.000493149,0.00531136,,,0.000406193,,0.00949053,1.21408,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
16,ROSS - 2020,2,36,3,Mixto,0.000517389,0.00582875,,,0.000420334,,0.00991086,1.2309,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
17,ROSS - 2020,2,37,3,Mixto,0.000542418,0.00637116,,,0.000434466,,0.0103453,1.24847,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
18,ROSS - 2020,2,38,3,Mixto,0.000568223,0.00693939,,,0.000448579,,0.0107939,1.26672,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
19,ROSS - 2020,2,39,3,Mixto,0.00059479,0.00753418,,,0.000462665,,0.0112566,1.28557,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
20,ROSS - 2020,2,40,3,Mixto,0.000622101,0.00815628,,,0.000476717,,0.0117333,1.30497,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
21,ROSS - 2020,2,41,3,Mixto,0.000650137,0.00880641,,,0.000490726,,0.012224,1.32485,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
22,ROSS - 2020,2,42,3,Mixto,0.000678879,0.00948529,,,0.000504684,,0.0127287,1.34516,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
23,ROSS - 2020,2,43,3,Mixto,0.000708305,0.0101936,,,0.000518584,,0.0132473,1.36584,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
24,ROSS - 2020,2,44,3,Mixto,0.000738391,0.010932,,,0.000532418,,0.0137797,1.38686,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
25,ROSS - 2020,2,45,3,Mixto,0.000769114,0.0117011,,,0.000546177,,0.0143259,1.40818,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
26,ROSS - 2020,2,46,3,Mixto,0.000800446,0.0125015,,,0.000559856,,0.0148857,1.42973,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
27,ROSS - 2020,2,47,3,Mixto,0.00083236,0.0133339,,,0.000573447,,0.0154592,1.4515,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
28,ROSS - 2020,2,48,3,Mixto,0.000864829,0.0141987,,,0.000586943,,0.0160461,1.47345,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
29,ROSS - 2020,2,49,3,Mixto,0.000897823,0.0150966,,,0.000600337,,0.0166465,1.49553,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
30,ROSS - 2020,2,50,3,Mixto,0.00093131,0.0160279,,,0.000613622,,0.0172601,1.51773,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
31,ROSS - 2020,2,51,3,Mixto,0.00096526,0.0169931,,,0.000626792,,0.0178869,1.54,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
32,ROSS - 2020,2,52,3,Mixto,0.00099964,0.0179928,,,0.000639841,,0.0185267,1.56233,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
33,ROSS - 2020,2,53,3,Mixto,0.00103442,0.0190272,,,0.000652762,,0.0191795,1.58468,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
34,ROSS - 2020,2,54,3,Mixto,0.00106956,0.0200968,,,0.000665549,,0.019845,1.60703,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
35,ROSS - 2020,2,55,3,Mixto,0.00110503,0.0212018,,,0.000678197,,0.0205232,1.62936,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
36,ROSS - 2020,2,56,3,Mixto,0.00114079,0.0223426,,,0.0006907,,0.0212139,1.65164,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
37,ROSS - 2020,2,57,3,Mixto,0.00117681,0.0235194,,,0.000703052,,0.021917,1.67386,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
38,ROSS - 2020,2,58,3,Mixto,0.00121306,0.0247324,,,0.000715247,,0.0226322,1.69599,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
39,ROSS - 2020,2,59,3,Mixto,0.00124949,0.0259819,,,0.000727282,,0.0233595,1.71803,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
40,ROSS - 2020,2,60,3,Mixto,0.00128608,0.027268,,,0.000739151,,0.0240987,1.73994,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
41,ROSS - 2020,2,61,3,Mixto,0.00132278,0.0285908,,,0.000750849,,0.0248495,1.76172,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
42,ROSS - 2020,2,62,3,Mixto,0.00135957,0.0299504,,,0.000762371,,0.0256119,1.78335,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
43,ROSS - 2020,2,63,3,Mixto,0.00139641,0.0313468,,,0.000773714,,0.0263856,1.80481,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
44,ROSS - 2020,2,64,3,Mixto,0.00143326,0.03278,,,0.000784873,,0.0271705,1.8261,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
45,ROSS - 2020,2,65,3,Mixto,0.00147009,0.0342501,,,0.000795843,,0.0279663,1.84721,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
46,ROSS - 2020,2,66,3,Mixto,0.00150687,0.035757,,,0.000806622,,0.0287729,1.86812,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
47,ROSS - 2020,2,67,3,Mixto,0.00154356,0.0373006,,,0.000817206,,0.0295901,1.88882,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
48,ROSS - 2020,2,68,3,Mixto,0.00158013,0.0388807,,,0.00082759,,0.0304177,1.90932,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
49,ROSS - 2020,2,69,3,Mixto,0.00161656,0.0404972,,,0.000837773,,0.0312555,1.92959,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
50,ROSS - 2020,2,70,3,Mixto,0.0016528,0.04215,,,0.00084775,,0.0321032,1.94963,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
51,ROSS - 2020,2,71,3,Mixto,0.00168884,0.0438389,,,0.00085752,,0.0329608,1.96944,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
52,ROSS - 2020,2,72,3,Mixto,0.00172464,0.0455635,,,0.000867079,,0.0338278,1.98902,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
53,ROSS - 2020,2,73,3,Mixto,0.00176017,0.0473237,,,0.000876424,,0.0347043,2.00835,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
54,ROSS - 2020,2,74,3,Mixto,0.00179542,0.0491191,,,0.000885555,,0.0355898,2.02745,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
55,ROSS - 2020,2,75,3,Mixto,0.00183034,0.0509495,,,0.000894468,,0.0364843,2.0463,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
56,ROSS - 2020,2,76,3,Mixto,0.00186493,0.0528144,,,0.000903161,,0.0373875,2.0649,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
57,ROSS - 2020,2,77,3,Mixto,0.00189916,0.0547135,,,0.000911633,,0.0382991,2.08325,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
58,ROSS - 2020,2,78,3,Mixto,0.00193301,0.0566465,,,0.000919883,,0.039219,2.10136,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
59,ROSS - 2020,2,79,3,Mixto,0.00196645,0.058613,,,0.000927908,,0.0401469,2.11923,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
60,ROSS - 2020,2,80,3,Mixto,0.00199946,0.0606125,,,0.000935709,,0.0410826,2.13685,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
61,ROSS - 2020,2,81,3,Mixto,0.00203204,0.0626445,,,0.000943283,,0.0420259,2.15422,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
62,ROSS - 2020,2,82,3,Mixto,0.00206416,0.0647087,,,0.00095063,,0.0429765,2.17136,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
63,ROSS - 2020,2,83,3,Mixto,0.00209581,0.0668045,,,0.000957749,,0.0439343,2.18827,-1.0,Cerdos,2019,0,"2020-09-01 15:34:49","2021-11-17 15:49:43"
