peso,ganancia,edad,sexo,active,nombreGenetica,codigoConstruccion,tipoClima,codigoZonaGeografica,animal
0.043,0.0,0,Macho,0,ROSS - 2017,1,,-1,Poultry
0.055,0.012,1,Macho,0,ROSS - 2017,1,,-1,Poultry
0.07,0.015,2,Macho,0,ROSS - 2017,1,,-1,Poultry
0.088,0.018,3,Macho,0,ROSS - 2017,1,,-1,Poultry
0.109,0.021,4,Macho,0,ROSS - 2017,1,,-1,Poultry
0.133,0.024,5,Macho,0,ROSS - 2017,1,,-1,Poultry
0.16,0.027,6,Macho,0,ROSS - 2017,1,,-1,Poultry
0.19,0.03,7,Macho,0,ROSS - 2017,1,,-1,Poultry
0.224,0.033,8,Macho,0,ROSS - 2017,1,,-1,Poultry
0.26,0.037,9,Macho,0,ROSS - 2017,1,,-1,Poultry
0.3,0.04,10,Macho,0,ROSS - 2017,1,,-1,Poultry
0.343,0.043,11,Macho,0,ROSS - 2017,1,,-1,Poultry
0.39,0.047,12,Macho,0,ROSS - 2017,1,,-1,Poultry
0.44,0.05,13,Macho,0,ROSS - 2017,1,,-1,Poultry
0.494,0.054,14,Macho,0,ROSS - 2017,1,,-1,Poultry
0.551,0.057,15,Macho,0,ROSS - 2017,1,,-1,Poultry
0.612,0.061,16,Macho,0,ROSS - 2017,1,,-1,Poultry
0.677,0.065,17,Macho,0,ROSS - 2017,1,,-1,Poultry
0.746,0.069,18,Macho,0,ROSS - 2017,1,,-1,Poultry
0.818,0.072,19,Macho,0,ROSS - 2017,1,,-1,Poultry
0.895,0.076,20,Macho,0,ROSS - 2017,1,,-1,Poultry
0.975,0.08,21,Macho,0,ROSS - 2017,1,,-1,Poultry
1.057,0.083,22,Macho,0,ROSS - 2017,1,,-1,Poultry
1.143,0.085,23,Macho,0,ROSS - 2017,1,,-1,Poultry
1.231,0.088,24,Macho,0,ROSS - 2017,1,,-1,Poultry
1.321,0.091,25,Macho,0,ROSS - 2017,1,,-1,Poultry
1.414,0.093,26,Macho,0,ROSS - 2017,1,,-1,Poultry
1.509,0.095,27,Macho,0,ROSS - 2017,1,,-1,Poultry
1.606,0.097,28,Macho,0,ROSS - 2017,1,,-1,Poultry
1.706,0.1,29,Macho,0,ROSS - 2017,1,,-1,Poultry
1.808,0.101,30,Macho,0,ROSS - 2017,1,,-1,Poultry
1.911,0.103,31,Macho,0,ROSS - 2017,1,,-1,Poultry
2.015,0.104,32,Macho,0,ROSS - 2017,1,,-1,Poultry
2.121,0.106,33,Macho,0,ROSS - 2017,1,,-1,Poultry
2.228,0.107,34,Macho,0,ROSS - 2017,1,,-1,Poultry
2.336,0.108,35,Macho,0,ROSS - 2017,1,,-1,Poultry
2.444,0.109,36,Macho,0,ROSS - 2017,1,,-1,Poultry
2.553,0.109,37,Macho,0,ROSS - 2017,1,,-1,Poultry
2.663,0.11,38,Macho,0,ROSS - 2017,1,,-1,Poultry
2.773,0.11,39,Macho,0,ROSS - 2017,1,,-1,Poultry
2.883,0.11,40,Macho,0,ROSS - 2017,1,,-1,Poultry
2.993,0.11,41,Macho,0,ROSS - 2017,1,,-1,Poultry
3.103,0.11,42,Macho,0,ROSS - 2017,1,,-1,Poultry
3.212,0.109,43,Macho,0,ROSS - 2017,1,,-1,Poultry
3.321,0.109,44,Macho,0,ROSS - 2017,1,,-1,Poultry
3.43,0.108,45,Macho,0,ROSS - 2017,1,,-1,Poultry
3.537,0.107,46,Macho,0,ROSS - 2017,1,,-1,Poultry
3.643,0.106,47,Macho,0,ROSS - 2017,1,,-1,Poultry
3.749,0.105,48,Macho,0,ROSS - 2017,1,,-1,Poultry
3.852,0.104,49,Macho,0,ROSS - 2017,1,,-1,Poultry
3.955,0.102,50,Macho,0,ROSS - 2017,1,,-1,Poultry
4.056,0.101,51,Macho,0,ROSS - 2017,1,,-1,Poultry
4.154,0.099,52,Macho,0,ROSS - 2017,1,,-1,Poultry
4.251,0.097,53,Macho,0,ROSS - 2017,1,,-1,Poultry
4.346,0.095,54,Macho,0,ROSS - 2017,1,,-1,Poultry
4.439,0.092,55,Macho,0,ROSS - 2017,1,,-1,Poultry
4.529,0.09,56,Macho,0,ROSS - 2017,1,,-1,Poultry
4.617,0.088,57,Macho,0,ROSS - 2017,1,,-1,Poultry
4.702,0.085,58,Macho,0,ROSS - 2017,1,,-1,Poultry
4.784,0.082,59,Macho,0,ROSS - 2017,1,,-1,Poultry
4.863,0.079,60,Macho,0,ROSS - 2017,1,,-1,Poultry
4.939,0.076,61,Macho,0,ROSS - 2017,1,,-1,Poultry
5.011,0.072,62,Macho,0,ROSS - 2017,1,,-1,Poultry
5.08,0.069,63,Macho,0,ROSS - 2017,1,,-1,Poultry
5.145,0.065,64,Macho,0,ROSS - 2017,1,,-1,Poultry
5.207,0.061,65,Macho,0,ROSS - 2017,1,,-1,Poultry
5.264,0.057,66,Macho,0,ROSS - 2017,1,,-1,Poultry
5.317,0.053,67,Macho,0,ROSS - 2017,1,,-1,Poultry
5.366,0.049,68,Macho,0,ROSS - 2017,1,,-1,Poultry
5.411,0.045,69,Macho,0,ROSS - 2017,1,,-1,Poultry
5.451,0.041,70,Macho,0,ROSS - 2017,1,,-1,Poultry
0.043,0.0,0,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.055,0.012,1,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.07,0.015,2,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.088,0.018,3,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.108,0.021,4,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.132,0.024,5,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.158,0.027,6,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.188,0.03,7,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.221,0.033,8,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.257,0.036,9,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.296,0.039,10,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.338,0.042,11,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.383,0.045,12,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.431,0.048,13,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.482,0.051,14,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.536,0.054,15,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.594,0.058,16,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.655,0.061,17,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.719,0.064,18,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.786,0.067,19,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.856,0.07,20,Hembra,0,ROSS - 2017,1,,-1,Poultry
0.928,0.072,21,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.002,0.074,22,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.078,0.077,23,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.157,0.079,24,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.238,0.081,25,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.321,0.083,26,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.405,0.084,27,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.491,0.086,28,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.578,0.087,29,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.666,0.088,30,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.755,0.089,31,Hembra,0,ROSS - 2017,1,,-1,Poultry
1.844,0.089,32,Hembra,0,ROSS - 2017,1,,-1,Poultry
